Name,Markets Seeking,Locations Seeking
Rudy Roy,,
John Kemp-Welch,,
Matt Krna,"Clean Technology,Consumer Internet,Enterprise Software,Flash Sales,Mobile,Social Games","New York,New York City"
Dmitry Antonenko,,Kiev
Anish Acharya,"Big Data,Consumer Internet,Development Platforms,E-Commerce,Location Based Services,Mobile,Productivity Software,Social Media","New York,San Francisco,Seattle,Silicon Valley,Toronto"
Jonathan Ehrlich,"Bridging Online and Offline,CRM,Collaborative Consumption,Consumer Internet,Content,Email Marketing,Email Newsletters,Enterprise Software,Golf Equipment,Health Care,Health Care Information Technology,Internet of Things,Local,Marketplaces,Messaging,Mobile,Mobile Health,Parenting,Quantified Self,Real Estate,Rental Housing,SaaS,Sales and Marketing,Search,Social Games","Palo Alto,San Francisco,Silicon Valley,Toronto,Vancouver"
Martin-Luc Archambault,"Internet,Mobile","Canada,Montreal"
Jonathan Heiliger,"B2B,Cloud Computing,Collaboration,Consumer Internet,Consumers,Data Center Infrastructure,Digital Media,Enterprise Software,Enterprises,Financial Services,Hardware,Human Resources,Information Technology,Infrastructure,Internet Infrastructure,Marketplaces,Mobile,PaaS,Recruiting,Sales and Marketing,Security,Synthetic Biology,Web Hosting","Earth,Europe,Palo Alto,Silicon Valley"
Andreas Fragner,,"California,Connecticut,London,Massachusetts,New York City,Seattle"
Philipp Schroeder,"Advertising,Advertising Platforms,Collaboration,Consumer Internet,E-Commerce,Enterprise Software,Facebook Applications,Families,Group Email,Kids,Market Research,Mobile,Privacy,Reputation,SaaS,Security,Social CRM,Social Commerce,Social Media Marketing,Supply Chain Management,Usability,User Experience Design,User Testing,iPad","Barcelona,Europe,Germany,Hamburg,Spain"
Michael Ross,"Bridging Online and Offline,Consumer Goods,Consumer Internet,Customer Service,Enterprise Software,Fitness,Food and Beverages,Lead Generation,Mobile,Mobile Commerce,Telephony","Earth,Los Angeles,New York,Silicon Valley"
James Wise,"Consumer Internet,DIY,Databases,E-Commerce,Education,Enterprise Software,Health Care,Health and Wellness,Mobile,Pets,Retail,Social Media,Web Development",Europe
Bruce Miller,"Big Data,Biotechnology,Chat,Clean Technology,Consumer Internet,Digital Media,Email Marketing,Enterprise Software,Interest Graph,Local,Machine Learning,Mobile,Mobile Commerce,Social Media","Boston,New York,Silicon Valley"
Sundeep Peechu,"3D Technology,Aerospace,Collaborative Consumption,Computer Vision,Construction,Deep Information Technology,E-Commerce,Education,Employment,Energy Efficiency,Enterprise Software,Fashion,Hardware,Health and Wellness,Maps,Marketplaces,Mobile,Mobile Commerce,Parenting,Recruiting,Social Commerce,Social Games,Social Media,Space Travel,Supply Chain Management","Canada,Europe,India,Israel,Los Angeles,New York,Palo Alto,San Francisco"
Ted Bremer,"Consumer Internet,Content Discovery,Digital Media,Mobile,Social Media,Software","Berlin,Prague,Seattle"
Mark Mc Laughlin,"Music Venues,Ticketing","Dublin,Europe,North America"
Frank V. Pinto,"Consumer Internet,E-Commerce,Mobile","Boston,California,Chicago,Los Angeles,New York,New York City,Palo Alto,San Francisco,Southern California"
David Orfao,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",Boston
Eric Paley,"Information Technology,Marketplaces,Mobile","Boston,Cambridge MA,New York City,San Francisco,Silicon Valley"
Alicia Raymond,,
Mark McDowell,"Education,Mobile,Wireless","Canada,Charlotte,Northeastern States,San Francisco,Silicon Valley,South East US,Washington DC"
Bradley C. Harrison,"All Markets,Consumer Internet,Digital Media,E-Commerce,Entertainment,Lead Generation,Media,Mobile,Social Commerce,Social Media","Austin,Charlotte,Earth,Los Angeles,New York City,Silicon Valley,Washington DC"
Nabil Kassam,"Advertising Platforms,Analytics,Application Platforms,Collaborative Consumption,Construction,Consumer Internet,Digital Media,Education,Educational Games,Enterprise Software,Financial Services,Location Based Services,Loyalty Programs,Marketplaces,Mobile,Online Rental,Online Reservations","Africa,Asia,Brazil,Europe,Houston,India,Los Angeles,New York,New York City,San Francisco,Silicon Valley,Toronto,Vancouver"
Kris Petersen,,Chicago
William Lohse,"Advertising,Consumer Internet,Content,Content Discovery,E-Commerce,Health Care Information Technology,Local Advertising,Loyalty Programs,Media,Mobile,Mobile Advertising,Mobile Enterprise,Online Video Advertising,Performance Marketing,Quantified Self,Search Marketing,Semantic Web,Social Commerce,Social Games,Social Media,Social Media Marketing,Social Media Platforms,Social Television,Ventures for Good,Video","Los Angeles,New York,San Francisco,Seattle"
Anna Zornosa,"Consumer Internet,Mobile,Online Dating,Search,Social Commerce,Social Media,Wine And Spirits","Burlingame,New York,New York City,Silicon Valley"
David Coats,"Biotechnology,Business Services,Clean Technology,Energy,Green,Health Care,Life Sciences,Medical,Retail","California,Los Angeles,San Diego,Silicon Valley"
David Shreni,"Analytics,Business Analytics,Mobile,Mobile Analytics,Mobile Commerce,Mobile Payments,Nonprofits,Venture Capital","Brazil,Canada,Chile,China,France,Germany,India,Mexico,United Kingdom"
Guy Turner,"Agriculture,B2B,Big Data,Data Mining,Development Platforms,Enterprise Software,Financial Services,Food and Beverages,K-12 Education,Mobile,Mobile Payments,Payments,SaaS,Sales Automation,Small and Medium Businesses,Social Commerce,Visualization","Ann Arbor,Champaign,Chicago,Cincinnati,Cleveland,Columbus,Illinois,Indiana,Indianapolis,Madison,Michigan,Minneapolis,Minnesota,Ohio,Wisconsin"
Kristina Shen,"Consumer Internet,Enterprise Software,Mobile","California,United States"
David Shen,"B2B,Bridging Online and Offline,Consumer Electronics,Consumers,E-Commerce,Hardware,Internet,Local,Mobile,Quantified Self,Retail Technology","New York,Palo Alto,Silicon Valley"
John Stokes,"Consumer Internet,Developer Tools,E-Commerce,Mobile,Social Commerce,Social Media","Boston,Canada,London,Montreal,New York City,Tokyo,Toronto,United Kingdom,United States,Vancouver"
Dan Castro,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Midwestern States,Northeastern States"
Zain Gulamali,"Ad Targeting,Advertising,Advertising Networks,Advertising Platforms,Analytics,Android,Business Intelligence,Chat,Communities,Consumer Internet,Content Summarization,Content Syndication,Crowdsourcing,Data Mining,Digital Media,E-Commerce,Education,Educational Games,Email Newsletters,Financial Services,Forums,FreetoPlay Gaming,Impact Investing,Knowledge Management,Lead Generation,Local Advertising,Location Based Services,Mobile,Mobile Advertising,Mobile Commerce,Mobile Enterprise,Mobile Games,Mobile Payments,Online Travel,Payments,Social Games,Social Media,Social Media Monitoring,Ventures for Good,iOS","Georgia,Massachusetts,New York,New York City,North Carolina,San Francisco,Silicon Valley,Texas"
Kevin Tucker,,Africa
John Lanahan,"3D Printing,All Markets,Consumer Internet,Hardware + Software,Life Sciences,Mobile,SaaS","Los Angeles,Massachusetts,New York,New York City,Northern California,San Francisco,Silicon Valley,Washington"
Jonathan Becker,"Analytics,Android,Collaborative Consumption,Consumer Internet,Consumers,Deals,E-Commerce,Enterprise Software,Event Management,Families,Fashion,Financial Services,Marketplaces,Mobile,Payments,Postal and Courier Services,Real Estate,Rental Housing,Retail,SaaS,Search,Social Media,Supply Chain Management,Transportation,iOS","Berlin,Earth,Europe,Germany,Hamburg,Mountain View,Munich,Palo Alto,San Francisco,Silicon Valley,Sweden"
Miriam Ryan,,New York City
Darius Cheung,"Consumer Internet,Finance,Finance Technology,Financial Exchanges,Mobile,Personal Finance","Indonesia,New York,San Francisco,Silicon Valley,Singapore"
Burke Robinson,Entrepreneur,"California,Northern California"
Zack Schildhorn,"3D Printing,3D Technology,Clean Technology,Hardware,Health Care,Photography,Robotics,Technology","New York City,Silicon Valley"
mark.ross,,
Baris Aksoy,"Bridging Online and Offline,Consumer Internet,Consumers,Design,Education,Entertainment,Information Technology,Media,Mobile,Platforms,Prediction Markets,Recruiting,Reviews and Recommendations,Small and Medium Businesses,Travel","Earth,Europe,North America,San Francisco,Silicon Valley"
Jaafer Haidar,"Advertising,Bridging Online and Offline,Collaborative Consumption,Consumer Internet,Content Discovery,Digital Media,E-Commerce,Enterprise Software,Flash Sales,Health Care,Health Care Information Technology,Health and Wellness,Machine Learning,Marketplaces,Mobile,Mobile Games,Personalization,SaaS,Sales and Marketing,Social Games,Social Media,Social Television,Tablets,Video","Boston,Chicago,Los Angeles,New York City,Ontario CA,San Francisco,Silicon Valley,Toronto,Waterloo"
Kelly Quann Bianucci,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Jonathan Gittos,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","London,Oxford"
Michael Brown,"Business Services,Consumer Internet,Consumers,Infrastructure,Internet","San Francisco,Silicon Valley"
Pouyan Salehi,"B2B,Mobile,SaaS",Mountain View
Kevin Xu,"Mobile,Social Media","Silicon Valley,Stanford"
Stephen Kahn,,
Jason Mok,,"Palo Alto,San Francisco"
AndrÃ© Burchart,"Advertising,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Games,Mobile,Mobile Advertising,SaaS","Berlin,Cologne,Europe,France,Germany,Munich"
Adam Schwartz,"Advertising,Analytics,Big Data,Cloud Computing,Consumer Internet,Digital Media,E-Commerce,Education,Enterprise Software,Games,Information Technology,Internet,Location Based Services,Marketplaces,Mobile,SaaS,Sales and Marketing,Small and Medium Businesses,Social Commerce,Social Media","Earth,New York City"
Oscar Aabech Jung,,
Sean Flynn,"Consumer Internet,Digital Media,E-Commerce,Education,Events,Fashion,Financial Services,Information Technology,Internet TV,Location Based Services,Mobile,Mobile Commerce,Parenting,Payments,Personal Finance,Real Estate,Small and Medium Businesses,Social Media","New York City,San Francisco,Silicon Valley"
Nico Berman,"Advertising,Advertising Platforms,Android,Big Data,Cloud Computing,Communities,Consumer Internet,Consumers,Crowdfunding,Crowdsourcing,Digital Media,E-Commerce,Entertainment,Games,Local,Local Based Services,Marketplaces,Mobile,Mobile Advertising,Mobile Commerce,Mobile Games,Payments,Platforms,Retail,Reviews and Recommendations,Search,Social Commerce,Social Games,Social Media,iPad,iPhone","Argentina,Brazil,Chile,Colombia,Mexico,South America,Uruguay,Venezuela"
Debbie Levi,"All Markets,Android,B2B,Big Data,Clean Technology,Collaboration,Consumer Internet,Content Discovery,Digital Media,E-Commerce,Enterprise Software,Fraud Detection,Health Care Information Technology,Human Resources,Marketplaces,Mobile,Payments,Recruiting,Sales and Marketing,Semiconductors,Social Games,Social Media,Video,Visualization,iPhone","Israel,Tel Aviv,Tel Aviv-yafo"
Mathias Schilling,"Chat,Communities,Consumer Internet,E-Commerce,Internet,Local,Mobile,SaaS,Social Commerce,Social Media,Video,Wireless","Beijing,Berlin,Brazil,Eastern Europe,London,Los Angeles,Moscow,New York City,Russia,San Francisco,Sao Paulo,Seattle,Shanghai,Silicon Valley,Tokyo,Vancouver,Western Europe"
Theresa Clarke,Invest Online,
Rohit Gupta,"3D Printing,Collaboration,Computer Vision,Consumer Electronics,Consumer Internet,Creative,Deep Information Technology,Design,E-Commerce,E-Commerce Platforms,Enterprise Software,Fashion,Graphics,Image Recognition,Infrastructure,Internet Infrastructure,Mobile,Mobile Commerce,Mobile Enterprise,Postal and Courier Services,Publishing,Retail,SaaS,Social Commerce,Social Media,Video,Video Editing,Web Design","New York,New York City,San Francisco"
"Justin Allamano, Esq.","Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Hakan KoÃ§,,
Karen Moon,"Fashion,Location Based Services,Mobile Commerce,SaaS,Social Commerce","New York City,San Francisco,Silicon Valley"
Vikram Gupta,"All Markets,Banking,Finance,Finance Technology,Financial Services,Mobile Payments,Parenting,Payments","Canada,Europe,India,North America,United States"
Tawny Holguin,,San Francisco
Gary Benitt,"Cloud Computing,Consumer Internet,SaaS,Small and Medium Businesses",San Francisco
Eckart Walther,,
Keila Fong,"Consumer Electronics,Consumer Internet,Enterprise Software,Hardware,Health Care,Mobile",San Francisco
Sharel McVey,,"San Francisco,Santa Barbara,Silicon Valley"
Matt Golden,"Advertising Platforms,Android,Consumer Internet,Content Discovery,Digital Media,E-Books,E-Commerce,Elder Care,Food and Beverages,Health Care,Health Care Information Technology,Marketplaces,Mobile,Mobile Advertising,Mobile Enterprise,Mobile Games,Mobile Health,Performance Marketing,Physicians,Productivity Software,Publishing,Retail,Social Games,Social Media,iPhone","Boston,New York,Seattle,Silicon Valley,Toronto"
Tim Wilson,"Agriculture,Clean Technology,Consumer Internet,Enterprise Software,Mobile","Los Angeles,North America,San Francisco,Silicon Valley"
Daniel Barney,"Bicycles,Big Data,Bridging Online and Offline,Collaboration,Collaborative Consumption,Communications Infrastructure,Consumer Internet,Enterprise Software,Health Care,Legal,Messaging,Mobile,Mobile Health,Parenting,Peer-to-Peer,SaaS,Search","New York City,Silicon Valley"
Sudip Chakrabarti,,
Rafael Carlos Rosa,,
Arend Lars Iven,"E-Commerce,Fashion,Games,Internet,Lead Generation,Marketplaces,Mass Customization,Mobile,Mobile Payments,Payments,SaaS,Shoes","Europe,Germany,United States"
Dawn Umlah,"Analytics,Business Intelligence,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Fashion,Health and Wellness,Kids,Mobile,Social Commerce",Canada
Evren Ucok,"Advertising,Clean Technology,Consumer Internet,Doctors,Enterprise Software,Fashion,Fitness,Health Care,Life Sciences,Location Based Services,Market Research,Mobile,Online Gaming,Online Shopping,Pharmaceuticals,Physicians,Real Estate,Shopping,Social Commerce,Travel &amp; Tourism",Istanbul
Braden Kowitz,"Consumer Internet,Marketplaces,Mobile","Austin,Boston,New York City,San Francisco"
Barry Appelman,"Big Data Analytics,Bioinformatics,Biotechnology,Clean Technology,Consumer Internet,E-Commerce,Enterprise Software,Mobile,Retail Technology,Social Commerce",New York
Jason Kim,,"Mountain View,New York City,Oakland,San Francisco"
Mark Siegel,"Cloud Computing,Consumer Internet,Enterprise Software,Marketplaces,Mobile,SaaS,Storage","Austin,Boston,Boulder,Los Angeles,New York City,San Francisco,Seattle"
Shanmuga(Shyam) Anandaraman,,"India,New York City"
Alexander Pessala,"Agriculture,Big Data Analytics,Bridging Online and Offline,Business Productivity,Cloud Computing,Cloud Security,Collaborative Consumption,Content Delivery,Data Security,Digital Media,E-Commerce,Enterprise Software,Information Technology,Journalism,Marketplaces,Mobile,News,SaaS,Semantic Search,Small and Medium Businesses,Social Media,Telecommunications,Text Analytics,User Experience Design,Video","Maryland,New York City,Virginia,Washington DC"
Lindsay Holden,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
PV Boccasam,"Big Data,Cloud Computing,Data Security,Deep Information Technology,Education,Enterprise Security,Enterprises,Homeland Security,Location Based Services,Media,Mobile Security,Platforms,Retail,Sales and Marketing","East Coast,Georgia,New York City,Pennsylvania,Pune,Virginia,Washington DC"
Mark Platshon,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Tony  Conrad,"Consumer Internet,Hardware,Location Based Services,Mobile,Social Media","New York City,San Francisco,Silicon Valley"
Michael Woods,,Mountain View
James Yoder,"Angels,Consumer Internet,Digital Media,Mobile,Social Investing,Sports",San Francisco
Katie Szczepaniak Rice,"Consumer Internet,Enterprise Software,Mobile","Albuquerque,Boulder,Denver,Los Angeles,New York,Salt Lake City,Silicon Valley"
Robert Seo,,
Nathan Meeks,,New York City
Ryan Floyd,"Cloud Computing,Enterprise Software,Enterprises,Information Technology,Media,Mobile,SaaS,Security","Menlo Park,Silicon Valley"
Roger Jackson,,
Neha Manaktala,"Analytics,Big Data,Digital Media,Finance Technology,Financial Services,Mobile,Mobile Advertising",London
Cem Sertoglu,"E-Commerce,Internet,Online Travel,Small and Medium Businesses,Social Commerce","Istanbul,Turkey"
Amy Klement,,
Prayank Swaroop,"Big Data Analytics,Consumer Internet,Content Discovery,Digital Media,Enterprise Software,Games,Machine Learning,Mobile,Mobile Advertising,News,Social Media","Ahmadabad,Asia,Australia,Bangalore,Chennai,Gurgaon,India,Indonesia,Indore,Malaysia,Mumbai,New Delhi,Pune,Singapore,Thailand"
John Philosophos,,
benkrall,"Advertising,Consumer Internet,Digital Media,Enterprise Software,Health Care,Mobile,Search,Social Media","New York,New York City"
Mikael Berner,"Consumer Internet,Education,Enterprise Software,Mobile,Speech Recognition",Silicon Valley
Will Coleman,"Clean Technology,Commercial Real Estate,Consumer Internet,Enterprise Software,Health Care,Health Care Information Technology,Mobile,Real Estate,Sustainability","Boston,New York City,San Francisco"
Maya Farah,"Business Information Systems,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Fashion,Local,Marketplaces,Mobile,Payments,SaaS",San Francisco
Juliet Pullis,,
Tim Chang,"Advertising,Advertising Platforms,Analytics,App Stores,Application Platforms,Big Data,Cloud Computing,Consumer Electronics,Consumer Goods,Consumer Internet,Consumers,Digital Media,E-Commerce,E-Commerce Platforms,Education,Enterprise Software,Entertainment,Financial Services,Fitness,Game Mechanics,Games,Gamification,Health Care,Health Care Information Technology,Information Technology,Infrastructure,Interest Graph,Internet,Internet Infrastructure,Internet TV,Location Based Services,Media,Medical Devices,Mobile,Mobile Advertising,Mobile Commerce,Mobile Coupons,Mobile Infrastructure,Music,Neuroscience,Payments,Personal Health,Quantified Self,Quantitative Marketing,Robotics,SaaS,Social Commerce,Social Games,Social Media,Subscription Businesses,Video,Video Games,Wireless,iPad,iPhone","Brazil,China,Europe,Israel,Japan,Menlo Park,New York City,San Francisco,Silicon Valley"
Sutian Dong,"Big Data,Commercial Real Estate,Consumer Internet,Data Security,E-Commerce,Education,Enterprise Security,Enterprise Software,Fashion,Financial Services,Food and Beverages,Information Technology,K-12 Education,Marketplaces,Mass Customization,Mobile,Mobile Enterprise,Mobile Payments,Mobile Security,Online Shopping,Point of Sale,Retail Technology,Social Commerce,Social Fundraising,Social Media","Austin,Los Angeles,New York City,Silicon Valley"
Christian Eggert,"Consumer Internet,Enterprise Software,Mobile",Berlin
Miraj Patel,"B2B,Enterprise Software,Health Care,Mobile,Payments","Earth,New York City,United States"
Laura Berk,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",Las Vegas
Andy White,"3D Printing,Consumer Internet,Drones,E-Commerce,Fashion,Mobile,Transportation,Ventures for Good","Las Vegas,North America"
William Rice,"Advertising,Analytics,Big Data,Big Data Analytics,Business Services,Cloud Computing,Consumer Goods,Consumer Internet,Digital Media,E-Commerce,Education,Enterprise Software,Fashion,Health and Wellness,Human Resources,Information Services,Information Technology,Marketplaces,Mobile,Online Travel,Platforms,Recruiting,Restaurants,Retail,SaaS,Sales and Marketing,Small and Medium Businesses,Social Commerce,Social Media,Specialty Retail","Boston,Cambridge UK,Colorado,East Coast,Illinois,Los Angeles,Massachusetts,New York City,Ontario,San Francisco,Seattle,Silicon Valley,Texas,Washington DC"
Jim Kim,,
Jon Steinberg,"Advertising,Advertising Exchanges,Advertising Platforms,Brand Marketing,Internet,Mobile Advertising,Online Video Advertising",New York City
Esteve Jane,,
Gary Chou,Information Technology,"Austin,New York City,San Francisco"
Melissa Levick Lake,Ventures for Good,"El Segundo,Los Altos,Los Angeles,Manhattan Beach,Mountain View,New York City,Palo Alto,San Francisco,Santa Monica"
Ray Alimurung,"Consumer Internet,E-Commerce,Enterprise Software,Mobile,Payments,SaaS","Philippines,Silicon Valley (Visiting)"
Salil Deshpande,"Big Data,Cloud Infrastructure,Enterprise Software,Infrastructure,Mobile,Open Source,SaaS,Social Media","Eastern Europe,Israel,Menlo Park,Palo Alto,San Francisco,Silicon Valley,Western Europe"
Nicholas Moryl,,
Neil Vaidya,"Analytics,Clean Technology,Consumer Internet,Enterprise Software,Health Care,Information Technology,Mobile,Social Media,Sports","Chicago,Cleveland,Los Angeles,New York City,San Francisco,Silicon Valley"
Simon Horne,"B2B,Clean Technology,Developer APIs,Finance,Financial Services,Information Technology,Mobile Payments,Payments,Startups,Technology",New York City
David Teten,"All Markets,Consumer Internet,Enterprise Software,Financial Services,Mobile,Social Media","Amsterdam,Atlanta,Austin,Canada,Chicago,Columbus,Israel,London,Los Angeles,Massachusetts,Nashville,New Jersey,New York,New York City,North America,Pittsburgh,San Diego,Silicon Valley,Toronto,Washington DC"
Ray Bradford,,
David Haber,"Cloud Computing,Consumer Internet,E-Commerce,Education,Enterprise Software,Marketplaces,Mobile,Social Media","Boston,Brazil,London,Los Angeles,New York City,San Francisco,Silicon Valley,Tel Aviv"
Evelyn Gillie,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Kyle Taylor,"Consumer Internet,Developer Tools,Enterprise Software,Marketplaces,Mobile","Los Angeles,New York City,San Francisco,Southern California"
Simon Sebastian Schmincke,"Advertising,Big Data,Big Data Analytics,Consumer Internet,Enterprise Software,Finance Technology,Games,Hardware,Marketplaces,Mobile","Europe,Germany,United States"
Dominic Becotte,"B2B,Clean Technology,Consumer Internet,Digital Media,Games,Incubators,Social Media","Montreal,New York City,Paris"
David Lee,"Advertising,Analytics,Big Data,Bioinformatics,Bridging Online and Offline,Consumer Internet,E-Commerce,Fashion,Local,Marketplaces,Mobile,Mobile Advertising,SaaS,Small and Medium Businesses,Social Commerce,Social Media","Massachusetts,New York,Palo Alto,Silicon Valley"
Kirsten Green,"Brand Marketing,Consumer Internet,E-Commerce,Marketplaces,Mobile,Mobile Commerce,Social Commerce,Social Media Marketing","Los Angeles,New York,San Francisco,Silicon Valley"
Brent Hoberman,"Consumer Internet,Enterprise Software,Health Care,Mobile",
Jordan Levy,Information Technology,"New York City,United States"
Luis M. RodrÃ_guez MartÃ_n,,
Michael McCartney,"Clean Technology,Collaborative Consumption,Consumer Internet,Digital Media,E-Commerce,Financial Services,Flash Sales,Local Services,Logistics,Marketplaces,Mobile,Self Storage,Social Games,Social Media,Storage","Los Angeles,New York City,Silicon Valley,Toronto"
Marc Chenn,,Salt Lake City
Miles Penn,,
Brian Rothenberg,"E-Commerce,Local,Local Services,Real Estate",
Aziz Gilani,"Big Data,Cloud Computing,Consumer Internet,Mobile","Austin,Houston,Texas"
Simon Glass,,
Seth Levine,"Human Computer Interaction,Information Technology,Internet,Mobile","Boulder,Colorado"
Will Fleming,,
Dan Engel,"Consumer Goods,Consumer Internet,Dietary Supplements,E-Commerce,Email,Enterprise Software,Games,Health and Wellness,Maps,Organic Food,SaaS,Search,Social Commerce,Software","New York,New York City,Santa Barbara,Silicon Valley"
Max Gazor,"Application Platforms,Big Data,Cloud Computing,Development Platforms,Enterprise Security,Enterprise Software,Internet Infrastructure,Mobile Enterprise,SaaS,Security,Small and Medium Businesses,Storage,Virtualization,iPad","Menlo Park,San Francisco,Silicon Valley"
Anton Bernstein,"Analytics,Apps,Consumer Internet,Consumers,E-Commerce,Education,Enterprise Software,Enterprises,Entertainment,Fashion,Health and Wellness,Information Technology,Local Commerce,Location Based Services,Marketplaces,Media,Mobile,Mobile Games,Recruiting,Restaurants,Retail,SaaS,Sales and Marketing,Small and Medium Businesses,Social Commerce,Social Games,Social Media,Startups,Travel","District of Columbia,Europe,France,London,Massachusetts,New York City,Ontario,Paris,San Francisco,Silicon Valley,Southern California,Texas,United Kingdom,Virginia"
David Horowitz,"Advertising,Digital Media,E-Commerce,Education,Enterprise Software,Finance Technology,Marketplaces,Mobile,SaaS","Baltimore,Boston,New York City,Philadelphia,Washington DC"
Ken Green,,
William Young,,San Francisco
Ifty Ahmed,"Bridging Online and Offline,Finance Technology,Marketplaces,Personal Finance,SaaS,Search,Social Fundraising","United Kingdom,United States,Western Europe"
Seth Goldstein,"Advertising,Analytics,Financial Services,Location Based Services,Mobile Coupons,Social Commerce,Social Media,Social News,iPad","New York City,San Francisco,Silicon Valley"
Jeremy Karmel,,
Sherman Atkinson,"Location Based Services,Mobile,Mobile Advertising,Mobile Analytics,Mobile Commerce,Mobile Security","China,East Coast,Hong Kong,Mountain States,Northern California,Southern California,Utah"
Alison Rosenthal,"Artists Globally,Consumer Internet,DIY,Design,Health and Wellness,Marketplaces,Mobile,Personal Health,Photography,Social Commerce","Earth,New York,San Francisco,Silicon Valley"
Eric Olson,"Advertising Platforms,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Mobile,SaaS",United States
Jos White,"Cloud Computing,Consumer Internet,Digital Media,E-Commerce,Enterprise Security,Enterprise Software,SaaS","London,New York City"
Harry DeMott,"Advertising,Advertising Platforms,Big Data,Bridging Online and Offline,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Financial Services,Games,Location Based Services,Media,Mobile,Mobile Commerce,Quantified Self,Social Media","Austin,Boston,Los Angeles,New York City,Silicon Valley"
Anandamoy Roychowdhary,,"Menlo Park,San Francisco"
Adam Prewett,"Consumer Internet,Finance Technology,Marketplaces,Mobile,Mobile Games,Personal Finance,Real Estate","San Francisco,Silicon Valley"
Federico Nusymowicz,,"Bellevue,California,New York City,Seattle"
Matt Turck,"Big Data,Big Data Analytics,Bridging Online and Offline,Cloud Computing,Cloud Data Services,Consumer Internet,Data Mining,Deep Information Technology,Developer APIs,Education,Finance,Finance Technology,Financial Exchanges,Financial Services,Governments,Hedge Funds,Internet of Things,Legal,M2M,Marketplaces,Mobile,News,Quantified Self,SaaS,Telecommunications","Europe,New York City,San Francisco"
Chris Howard,"Application Platforms,Big Data,Cloud Computing,Consumer Internet,Crowdfunding,Developer APIs,Development Platforms,E-Commerce,Enterprise Software,Local,Marketplaces,Mobile,Reviews and Recommendations,SaaS,Tablets","New York,San Francisco,Seattle,Silicon Valley"
Doug Ludlow,,"Palo Alto,San Francisco,San Jose"
GrandBanks Capital,,
Steve Xu,,
John Albright,"Audiobooks,Automotive,Cloud Computing,Communities,Consumer Electronics,Digital Media,E-Commerce,Elder Care,Gamification,Hardware,Health Care,Health Care Information Technology,Marketplaces,Mobile,Mobile Enterprise,Mobile Health,News,Performance Marketing,Physicians,Recruiting,SaaS,Security,Small and Medium Businesses,Social Commerce,Social Media Marketing","Boston,New York,Silicon Valley,Toronto"
Paul Chou,,
Namit Chadha,,London
Steve O'Donnell,"Big Data,Big Data Analytics,Clean Technology,Cloud Computing,Cloud Data Services,Corporate Training,Data Security,Enterprise Security,Enterprise Software,Hardware + Software,Information Security,Mobile,SaaS,Security,Smart Grid,Storage","Boston,California,London,Silicon Valley,Taipei,United Kingdom,Utah"
Jason Putorti,"Consumer Internet,Design,E-Commerce,Fashion,Information Technology,Retail,SaaS,Sales and Marketing,Social Media","New York City,Pittsburgh,San Francisco,San Jose,Silicon Valley"
Raj Gokal,"All Markets,Biotechnology,Financial Exchanges,Financial Services,Health Care Information Technology,Health and Wellness,Information Technology,Mobile Health,Personal Finance,Personal Health,Synthetic Biology","Earth,San Francisco"
Todd Horowitz,,
Daniel Portillo,,
Pat Kinsel,"Bridging Online and Offline,Cloud Infrastructure,Consumer Internet,Developer APIs,Enterprise Software,Local,Location Based Services,Mobile,Productivity Software,Real Time,SaaS,Search,Small and Medium Businesses,Social Search","Boston,Dublin,New York City,San Francisco"
Morris Wheeler,"Analytics,Automotive,Big Data Analytics,Cloud Computing,Cloud Data Services,Consumer Electronics,Consumer Internet,Developer APIs,Developer Tools,Digital Media,Finance,Finance Technology,Financial Services,Health Care Information Technology,Hospitals,Mobile,Mobile Analytics,Peer-to-Peer,Pharmaceuticals,SaaS,Search,Small and Medium Businesses,Social Media,Software,Startups,Travel,Venture Capital,Wireless","Boston,Boulder,Cleveland,Colorado,Los Angeles,Midwestern States,New York,New York City,Ohio,San Francisco,Seattle"
Josh Porter,"Big Data,Big Data Analytics,Digital Media,Mobile,Mobile Games,Social Games","Israel,London,Los Angeles,New York City,Palo Alto,San Francisco"
Karamdeep Nijjar,"Advertising Platforms,Analytics,B2B,Big Data,Bridging Online and Offline,CRM,Cloud Computing,Consumer Internet,Deals,Deep Information Technology,Digital Media,E-Commerce,Enterprise Software,Finance,Hardware,Information Services,Information Technology,Internet,Lead Generation,Media,Mobile,Mobile Advertising,Platforms,Retail,SaaS,Search,Security","Canada,Montreal,New York City,San Francisco,Silicon Valley,Toronto,Waterloo"
