"","Name","raised_amount_usd"
"OpenView Venture Partners","OpenView Venture Partners",6829302
"Opus Capital","Opus Capital",7987757.37037037
"OrbiMed Advisors","OrbiMed Advisors",18170645.3645833
"Origin Ventures","Origin Ventures",3734736.84210526
"Osage University Partners","Osage University Partners",19889599.71875
"Osage Venture Partners","Osage Venture Partners",4634792.52631579
"OurCrowd","OurCrowd",1041052.63157895
"OVP Venture Partners","OVP Venture Partners",6610022.33333333
"Oxford Capital Partners","Oxford Capital Partners",3043134.1092437
"PALgenesis","PALgenesis",1061750
"Palomar Ventures","Palomar Ventures",6291956.52173913
"Pangaea Ventures","Pangaea Ventures",9089292.85714286
"Panorama Capital","Panorama Capital",10789447.5
"Parkwalk Advisors Ltd","Parkwalk Advisors Ltd",7929082
"Partech Ventures","Partech Ventures",8622337.54761905
"Passion Capital","Passion Capital",2581671.8
"Peppermint Venture Partners","Peppermint Venture Partners",2007040
"Pitango Venture Capital","Pitango Venture Capital",8530776.69902913
"PivotNorth Capital","PivotNorth Capital",4644166.66666667
"Playfair Capital","Playfair Capital",972613.166666667
"Plus Capital","Plus Capital",2850000
"Point Nine Capital","Point Nine Capital",3044136.06060606
"Polaris Partners","Polaris Partners",7048094.05479452
"Presidio Ventures","Presidio Ventures",14578591.6666667
"Primary Capital","Primary Capital",6975497
"Prism VentureWorks","Prism VentureWorks",11439796.25
"Priveq Investment","Priveq Investment",25010000
"Prolog Ventures","Prolog Ventures",8009897.22222222
"Promus Ventures","Promus Ventures",3611726.08695652
"QED Investors","QED Investors",9928337.5
"Qualcomm Ventures","Qualcomm Ventures",12587566.2840909
"Quest Venture Partners","Quest Venture Partners",1862841.73529412
"Quorum Group","Quorum Group",1825000
"Quotidian Ventures","Quotidian Ventures",731770.833333333
"Raptor Ventures","Raptor Ventures",7073333.33333333
"Real Ventures","Real Ventures",1315204.19230769
"Red Sea Venture Partners","Red Sea Venture Partners",650000
"Red Swan","Red Swan",6349377.64705882
"Redpoint Ventures","Redpoint Ventures",10699371.5591837
"Reed Elsevier Ventures","Reed Elsevier Ventures",7634730.43478261
"Relay Ventures","Relay Ventures",6114938.05479452
"Rembrandt Venture Partners","Rembrandt Venture Partners",5669186.44067797
"Resolute.vc","Resolute.vc",2254473.68421053
"Revolution Ventures","Revolution Ventures",18450000
"Rho Capital Partners","Rho Capital Partners",12811035.5698925
"Ribbit Capital","Ribbit Capital",19658512.8571429
"Rincon Venture Partners","Rincon Venture Partners",3133870.96774194
"Rivers Capital Partners","Rivers Capital Partners",315066.666666667
"Robert Bosch Venture Capital","Robert Bosch Venture Capital",11776550.3076923
"Rocket Internet","Rocket Internet",27744549.375
