company_name,investor_name,investor_category_code,funded_year
Timbre,Bantam Group,,2013
CityNews,Banzai Ventures,,2010
Feathr,Barracuda Networks,security,2013
CityLive,Base 10 Web Solutions,public_relations,2009
Ebury Partners,Basekit,,2013
Robin,Batman BV,,2014
Zerto,Battery,,2013
Cumulus Networks,Battery Venture,,2014
StorkUp.com,Bauer Consumer Media,,2012
Gliknik,Baxter International,biotech,2012
Naurex,Baxter International,biotech,2012
Zytoprotec,Baxter International,biotech,2013
Opsona,Baxter International,biotech,2013
Ocular Therapeutix,Baxter International,biotech,2013
Opsona,Baxter International,biotech,2013
Xenetic Biosciences,Baxter International,biotech,2014
FFFavs,Bay Area Holding,,2013
GoNabit,Bayt.com,local,2010
P2P-Next,BBC,news,2008
Workube,BBCapital,,2009
TekTrak,BCITL Ventures,,2010
ePACT Network Ltd,BDC,,2013
Picatic,BDC,,2013
Close,Be Great Partners,finance,2013
Rouxbe,Beacon Law Advisors,,2006
NanoSatisfi,Beamonte Investments,finance,2013
Black House,Beamonte Investments,finance,2013
Nanosolar,Beck Energy,cleantech,2006
Nanosolar,Beck Energy,cleantech,2008
Socialtext,Bedford Funding,other,2012
fancybox,BeFactory,,2012
ChicPlace,BeFactory,,2013
tagUin,BeGreat,,2009
Shenzhen Jucheng Enterprise Management Consulting Co,Beijing Hejun Consulting,,2010
Extricom,Belden,,2006
Nonpareil,Bellichiamo Inc,,2012
Coinex.IO,Belovsky Trade Sciences,,2014
LiftDNA,Ben Franklin Technology Partners,,2011
Biba,Benchmark Capital / Balderton Capital,,2013
Instamedia,Bennett Coleman and Co Ltd,,2010
Gamma Basics,Bentley Systems,software,2011
Sellobuy,Bering Technologies,,2011
Karo Internet,Berlin Venture Partners,,2007
Qmerce,Bernardo Investment,,2011
MetaSolv,Bernay Box & Co,,2005
5gig,"Berquet Desarrollo Empresarial, S.L.",,2009
Mojiva,Bertelsmann,other,2010
DramaFever,Bertelsmann,other,2012
UniversityNow,Bertelsmann,other,2012
WizIQ,Bertelsmann,other,2013
India Property Online,Bertelsmann,other,2013
UniversityNow,Bertelsmann,other,2013
Synergis Education,Bertelsmann,other,2013
UCloud Information Technology,Bertelsmann,other,2013
Hoolai Games,Bertelsmann AG,,2011
Mydeo,Best Buy,web,2007
Avnera,Best Buy,web,2007
SiBEAM,Best Buy,web,2010
Zubie,Best Buy,web,2012
DiJiPOP,Betaspring,other,2009
Jobzle,Betaspring,other,2010
GreenGoose!,Betaspring,other,2011
Inhabi,Betaspring,other,2011
AwesomeTouch,Betaspring,other,2011
BuildingLayer,Betaspring,other,2011
Tracelytics,Betaspring,other,2011
Manpacks,Betaspring,other,2011
Plandree,Betaspring,other,2012
Spogo Inc.,Betaspring,other,2013
Sproutel,Betaspring,other,2012
121nexus,Betaspring,other,2012
Kuratur,Betaspring,other,2012
Recroup,Betaspring,other,2013
DapperJobs,Betaspring,other,2013
A Curated World,Betaspring,other,2012
Bare Tree Media,Betaspring,other,2013
AutoShag,Betaspring,other,2012
Bolt,Betaspring,other,2013
Care Thread,Betaspring,other,2013
Crunchbutton,Betaspring,other,2013
Designer Material,Betaspring,other,2013
Edtrips,Betaspring,other,2013
Eventcheq,Betaspring,other,2013
Gorb,Betaspring,other,2012
HealthID Profile,Betaspring,other,2012
Hundo,Betaspring,other,2013
InfiKno,Betaspring,other,2013
JumpOffCampus,Betaspring,other,2012
Prepmatic,Betaspring,other,2012
Lessonwriter,Betaspring,other,2012
"MoveableCode, Inc.",Betaspring,other,2012
Pennant,Betaspring,other,2013
RaftOut,Betaspring,other,2013
RecoVend,Betaspring,other,2012
Rootless,Betaspring,other,2013
Scholrly,Betaspring,other,2012
ShutterCal,Betaspring,other,2013
Sitefly,Betaspring,other,2013
SkillHound,Betaspring,other,2013
Tweetwall,Betaspring,other,2012
Splashscore,Betaspring,other,2013
Wisr,Betaspring,other,2011
Learning Hyperdrive,Betaspring,other,2013
SurpriseRide,Betaspring,other,2013
TennisHub,Betaspring,other,2013
Thryve,Betaspring,other,2012
Thumbs Up,Betaspring,other,2012
Waygo,Betaspring,other,2011
Umbie DentalCare,Betaspring,other,2011
ZoomTilt,Betaspring,other,2013
Catapulter,Betaspring,other,2010
Diavibe,Betaspring,other,2010
Accelereach,Betaspring,other,2009
Zokos,Betaspring,other,2011
NuLabel Technologies,Betaspring,other,2009
WeOwe,Betaspring,other,2009
Minds in Motion Electronics (MiME),Betaspring,other,2009
Leotus,Betaspring,other,2009
Expedit.us,Betaspring,other,2009
tu.nr,Betaspring,other,2010
Periscape,Betaspring,other,2010
Databraid,Betaspring,other,2010
"Mosec, Mobile Secretary",Betaspring,other,2011
Hope Street Media,Betaspring,other,2011
Conversation Media,Betaspring,other,2011
APE Systems,Betaspring,other,2013
AutoBike,Betaspring,other,2012
Tumblr,betaworks,social,2007
Summize,betaworks,social,2007
ideeli,betaworks,social,2007
Lookery,betaworks,social,2008
Snaptalent,betaworks,social,2008
Songkick,betaworks,social,2008
